Date,Amount of accidents
2009-01,221
2009-02,216
2009-03,261
2009-12,258
2009-04,203
2009-05,231
2009-06,182
2009-07,168
2009-08,212
2009-09,208
2009-10,218
2009-11,237
2010-01,236
2010-02,223
2010-03,276
2010-04,190
2010-05,217
2010-06,228
2010-07,156
2010-08,197
2010-09,269
2010-10,214
2010-11,287
2010-12,245
2011-01,205
2011-02,234
2011-03,310
2011-04,200
2011-05,230
2011-06,184
2011-07,156
2011-08,182
2011-09,265
2011-10,218
2011-11,217
2011-12,207
2012-01,328
2012-02,200
2012-03,256
2012-04,163
2012-05,179
2012-06,96
2012-07,175
2012-08,186
2012-09,256
2012-10,235
2012-11,149
2012-12,183
2013-01,226
2013-02,206
2013-03,233
2013-04,228
2013-05,201
2013-06,195
2013-07,178
2013-08,179
2013-09,273
2013-10,233
2013-11,245
2013-12,253
2014-01,272
2014-02,184
2014-03,233
2014-04,174
2014-05,190
2014-06,174
2014-07,211
2014-08,186
2014-09,253
2014-10,275
2014-11,181
2014-12,286
2015-01,301
2015-02,223
2015-03,261
2015-04,189
2015-05,154
2015-06,116
2015-07,187
2015-08,178
2015-09,276
2015-10,242
2015-11,270
2015-12,275
2016-01,281
2016-02,273
2016-03,238
2016-04,257
2016-05,210
2016-06,137
2016-07,201
2016-08,229
2016-09,291
2016-10,270
2016-11,267
2016-12,291
2017-01,287
2017-02,247
2017-03,312
2017-04,200
2017-05,233
2017-06,192
2017-07,172
2017-08,213
2017-09,158
2017-10,283
2017-11,302
2017-12,289
2018-01,306
2018-02,290
2018-03,245
2018-04,238
2018-05,286
2018-06,296
2018-07,276
2018-08,260
2018-09,293
2018-10,305
2018-11,277
2018-12,286
2019-01,371
2019-02,383
2019-03,335
2019-04,248
2019-05,264
2019-06,218
2019-07,231
2019-08,240
2019-09,275
2019-10,318
2019-11,207
2019-12,313
2020-01,339
2020-02,322
2020-03,257
2020-04,154
2020-05,218
2020-06,281
2020-07,218
2020-08,210
2020-09,226
2020-10,217
2020-11,209
2020-12,268
2021-01,246
2021-02,286
2021-03,305
2021-04,266
2021-05,271
2021-06,231
2021-07,276
2021-08,220
2021-09,340
2021-10,388
2021-11,385
2021-12,435
2022-01,276
2022-02,551
2022-03,465
2022-04,301
2022-05,225
2022-06,308
2022-07,263
2022-08,238
2022-09,288
2022-10,366
2022-11,301
2022-12,358
