year,month,average temperature
2007,1,-1.4767441860465114
2007,2,-1.2227272727272724
2007,3,1.486363636363636
2007,4,4.078571428571428
2007,5,4.230952380952381
2007,6,9.897619047619049
2007,7,10.458139534883719
2007,8,9.68095238095238
2007,9,6.853488372093024
2007,10,4.8604651162790695
2007,11,1.316279069767442
2007,12,0.835714285714286
2008,1,-1.313953488372093
2008,2,-0.7333333333333333
2008,3,-1.0255813953488373
2008,4,1.5744186046511628
2008,5,7.102380952380954
2008,6,8.835714285714285
2008,7,11.417073170731708
2008,8,10.56829268292683
2008,9,8.897619047619049
2008,10,1.6642857142857144
2008,11,1.1243902439024391
2008,12,-0.17560975609756097
2009,1,0.8225
2009,2,-1.9368421052631577
2009,3,-0.7684210526315789
2009,4,3.2800000000000002
2009,5,6.495
2009,6,9.01025641025641
2009,7,10.763157894736844
2009,8,10.205405405405406
2009,9,7.313157894736841
2009,10,3.5394736842105257
2009,11,1.8421052631578947
2009,12,-0.013157894736842141
2010,1,1.0473684210526315
2010,2,-1.845945945945946
2010,3,1.3842105263157893
2010,4,1.268421052631579
2010,5,6.375675675675675
2010,6,10.186842105263157
2010,7,11.054054054054054
2010,8,10.835135135135134
2010,9,9.142105263157895
2010,10,4.786486486486487
2010,11,-0.20000000000000007
2010,12,-0.5
2011,1,0.47714285714285715
2011,2,0.8771428571428572
2011,3,-0.8777777777777778
2011,4,4.261111111111111
2011,5,5.011111111111111
2011,6,6.8514285714285705
2011,7,10.935294117647059
2011,8,9.645714285714284
2011,9,7.802857142857142
2011,10,4.028571428571428
2011,11,3.382857142857143
2011,12,-2.8885714285714283
2012,1,0.35357142857142854
2012,2,2.0714285714285716
2012,3,2.5321428571428575
2012,4,2.5
2012,5,5.385714285714286
2012,6,8.860714285714284
2012,7,11.353571428571428
2012,8,11.082142857142857
2012,9,6.242857142857143
2012,10,2.7777777777777777
2012,11,0.3037037037037037
2012,12,0.20740740740740732
2013,1,1.9592592592592593
2013,2,2.8115384615384613
2013,3,-0.6230769230769231
2013,4,0.1115384615384615
2013,5,4.747826086956522
2013,6,9.843478260869565
2013,7,10.373913043478261
2013,8,9.595238095238095
2013,9,6.225
2013,10,3.3142857142857145
2013,11,0.8714285714285714
2013,12,-1.0619047619047617
2014,1,1.8761904761904762
2014,2,0.5428571428571428
2014,3,1.0952380952380953
2014,4,3.419047619047619
2014,5,6.609523809523809
2014,6,10.695238095238095
2014,7,11.22857142857143
2014,8,10.428571428571429
2014,9,9.123809523809523
2014,10,3.4714285714285715
2014,11,4.29047619047619
2014,12,-0.9904761904761903
2015,1,-0.7904761904761906
2015,2,-0.6857142857142857
2015,3,0.5428571428571429
2015,4,1.9047619047619047
2015,5,3.4047619047619047
2015,6,7.738095238095239
2015,7,8.60952380952381
2015,8,9.47142857142857
2015,9,9.019047619047619
2015,10,4.823809523809524
2015,11,1.4857142857142858
2015,12,-0.680952380952381
2016,1,-0.7142857142857142
2016,2,-1.4857142857142858
2016,3,1.4428571428571428
2016,4,2.8047619047619046
2016,5,5.871428571428571
2016,6,10.309523809523808
2016,7,10.495238095238093
2016,8,10.561904761904762
2016,9,8.038095238095238
2016,10,7.557142857142858
2016,11,3.023809523809524
2016,12,2.9857142857142858
2017,1,0.46315789473684216
2017,2,2.615789473684211
2017,3,0.7157894736842105
2017,4,2.163157894736842
2017,5,7.410526315789473
2017,6,8.289473684210526
2017,7,11.047368421052632
2017,8,9.789473684210526
2017,9,9.368421052631579
2017,10,6.038888888888888
2017,11,-0.3388888888888888
2017,12,-1.1055555555555554
2018,1,-0.41111111111111104
2018,2,0.9500000000000001
2018,3,0.9647058823529413
2018,4,3.0294117647058822
2018,5,5.911764705882353
2018,6,8.9375
2018,7,10.149999999999999
2018,8,9.268749999999999
2018,9,6.493333333333333
2018,10,3.4071428571428575
2018,11,2.714285714285714
2018,12,1.792857142857143
2019,1,-0.21428571428571433
2019,2,-0.014285714285714294
2019,3,0.20714285714285713
2019,4,5.3500000000000005
2019,5,5.364285714285714
2019,6,8.557142857142857
2019,7,11.028571428571428
2019,8,8.957142857142857
2019,9,8.092857142857142
2019,10,4.021428571428571
2019,11,1.0714285714285714
2019,12,0.2642857142857143
2020,1,-0.07142857142857142
2020,2,-0.5615384615384615
2020,3,-0.4846153846153846
2020,4,2.6714285714285713
2020,5,5.692857142857143
2020,6,9.328571428571427
2020,7,9.464285714285714
2020,8,10.450000000000001
2020,9,6.55
2020,10,4.657142857142857
2020,11,1.6
2020,12,0.24285714285714288
2021,1,-1.3928571428571428
2021,2,1.157142857142857
2021,3,1.4571428571428573
2021,4,2.028571428571429
2021,5,3.8785714285714286
2021,6,8.192857142857143
2021,7,11.900000000000002
2021,8,12.314285714285715
2021,9,7.992857142857143
2021,10,3.914285714285714
2021,11,1.042857142857143
2021,12,0.40714285714285714
2022,1,0.12857142857142856
2022,2,-2.2142857142857144
2022,3,1.5285714285714285
2022,4,3.6285714285714286
2022,5,5.65
2022,6,8.535714285714286
2022,7,9.87142857142857
2022,8,9.6
2022,9,8.385714285714284
2022,10,3.7714285714285714
2022,11,4.535714285714286
2022,12,-3.757142857142857
2023,1,-1.457142857142857
2023,2,1.4846153846153847
2023,3,-3.028571428571428
2023,4,3.6642857142857146
